Country,Covid_cases,Covid_cases(millions),Covid_deaths,Covid_deaths(thousands),Covid_vaccination_total,Population(millions),Date,,,,,
Singapore,2190057,2,1710,1.71,14727569,5.45,Dec-22,,,,,
China,10088555,10,5226,5.226,3454559000,1413,Dec-22,,,,,
Saudi Arabia,826575,1,9498,9.498,68148406,34.11,Dec-22,,,,,
Switzerland,4351866,4,13781,13.781,16817017,8.67,Dec-22,,,,,
Australia,10938096,11,15718,15.718,63548762,25.77,Dec-22,,,,,
Netherlands,8556131,9,22943,22.943,36104942,17.48,Dec-22,,,,,
South Korea,28302474,28,31490,31.49,129647782,51.74,Dec-22,,,,,
Japan,27187394,27,31547,31.547,361795334,125,Dec-22,,,,,
Canada,4457366,4,48645,48.645,95627345,38.44,Dec-22,,,,,
Turkey,17004677,17,99057,99.057,152543341,84.68,Dec-22,,,,,
South Africa,4045262,4,102550,102.55,38036088,60.14,Dec-22,,,,,
Spain,13651239,14,116658,116.658,95804542,47.4,Dec-22,,,,,
Argentina,9829236,10,130080,130.08,111496337,45.81,Dec-22,,,,,
France,37814858,38,156989,156.989,152779602,67.63,Dec-22,,,,,
Germany,37035898,37,160045,160.045,190202123,83.16,Dec-22,,,,,
Indonesia,6711703,7,160451,160.451,442013256,273,Dec-22,,,,,
Italy,24884034,25,183138,183.138,143198121,59.24,Dec-22,,,,,
United Kingdom,24089042,24,198271,198.271,151248820,67.53,Dec-22,,,,,
Mexico,7188862,7,330795,330.795,225063079,126,Dec-22,,,,,
Russia,21728409,22,393107,393.107,183356011,146,Dec-22,,,,,
India,44676199,45,530677,530.677,2199918890,1380,Dec-22,,,,,
Brazil,35901978,36,691883,691.883,478100116,213,Dec-22,,,,,
United States,98525870,99,1077129,1077.129,660400812,332,Dec-22,,,,,
,,,,,,,,,,,,
