Country,Exports,Imports,Date,,,,,
Argentina,7089,5750,Nov-22,,,,,
Australia,60066,47850,Oct-22,,,,,
Brazil,28164,21489,Nov-22,,,,,
Canada,67040,65820,Oct-22,,,,,
China,296,226,Nov-22,,,,,
Euro Area,252778,279297,Oct-22,,,,,
France,51445,63595,Oct-22,,,,,
Germany,133334,128030,Oct-22,,,,,
India,31.99,51.88,Nov-22,,,,,
Indonesia,24121,18962,Nov-22,,,,,
Italy,54488,56611,Oct-22,,,,,
Japan,8838,10865,Nov-22,,,,,
Mexico,49275,51287,Oct-22,,,,,
Netherlands,65830,61820,Oct-22,,,,,
Russia,45927,24754,Jan-22,,,,,
Saudi Arabia,124661,60047,Sep-22,,,,,
Singapore,52967,49496,Nov-22,,,,,
South Africa,159609,163923,Oct-22,,,,,
South Korea,51910,58925,Nov-22,,,,,
Spain,33057790,39910245,Oct-22,,,,,
Switzerland,20916,20422,Nov-22,,,,,
Turkey,21900,30700,Nov-22,,,,,
United Kingdom,69060,70845,Oct-22,,,,,
United States,256631,334793,Oct-22,,,,,
