Country,2008,2019
Austria,12336,44538
Bahrain,27784,1699
Belarus,83650,22136
Belgium,11506,26077
Bulgaria,26620,20937
Croatia,2790,...
Czech Republic,2125,24607
Denmark,26368,40568
Estonia,10675,...
Finland,5512,24661
France,722,31114
Georgia (Asia),...,...
Georgia (Europe),20027,...
Germany,38216,151500
Greece,4351,171512
Hungary,1884,31916
Iceland,32333,...
Iran,36099,1858
Ireland,...,19513
Israel,95,293746
Italy,132058,27491
Latvia,133015,15398
Lebanon,24366,58796
Lithuania,9641,18580
Luxambourg,281,...
Malta,1799,6636
Netherlands,58,43198
Norway,23632,60782
Other E.U. countries,32034,28287
Other European countries - non EU,16859,10461
Poland,354,80243
Portugal,3071,...
Romania,4049,57313
Russia,2150,781856
Serbia,14192,10536
Slovakia,2294,32844
Slovenia,4355,...
Spain,643,9550
Sweden,3421,144605
Switzerland,26302,67534
Syria,654,...
Total arrivals,26744,3976777
Total arrivals from Europe,63470,3430067
Total arrivals from other European countries - non EU,12200,1048337
Turkey,1092,...
Ukraine,...,95031
United Kingdom (E.U),5657,1330635
United Kingdom (non E.U),114,...
,...,
,4337,
,1694,
,20358,
,855,
,...,
,20346,
,180926,
,2978,
,3322,
,5048,
,1541,
,6249,
,1039,
,0,
,3641,
,124948,
,38603,
,1392,
,2403750,
,2267501,
,302146,
,135,
,8847,
,12853,
,1242655,
,21117,
