Date,Values,Symbol,Date(quarterly),Value(quarterly),Total_tourist_arrivals
2006,1.4670,Sterling:Euro exchange rate,2006 Q1,1.4570,2400924
2007,1.4619,Sterling:Euro exchange rate,2006 Q2,1.4540,2416081
2008,1.2588,Sterling:Euro exchange rate,2006 Q3,1.4713,2403750
2009,1.1233,Sterling:Euro exchange rate,2006 Q4,1.4854,2141193
2010,1.1664,Sterling:Euro exchange rate,2007 Q1,1.4916,2172998
2011,1.1527,Sterling:Euro exchange rate,2007 Q2,1.4732,2392228
2012,1.2337,Sterling:Euro exchange rate,2007 Q3,1.4705,2464908
2013,1.1776,Sterling:Euro exchange rate,2007 Q4,1.4129,2405390
2014,1.2411,Sterling:Euro exchange rate,2008 Q1,1.3212,2441239
2015,1.3782,Sterling:Euro exchange rate,2008 Q2,1.2615,2659405
2016,1.2233,Sterling:Euro exchange rate,2008 Q3,1.2586,3186531
2017,1.1413,Sterling:Euro exchange rate,2008 Q4,1.1957,3652073
2018,1.1305,Sterling:Euro exchange rate,2009 Q1,1.1010,3938625
2019,1.1405,Sterling:Euro exchange rate,2009 Q2,1.1389,3976777
2020,1.1250,Sterling:Euro exchange rate,2009 Q3,1.1475,631609
2021,1.1633,Sterling:Euro exchange rate,2009 Q4,1.1058,1936931
2006,2400924,Total_tourist_arrivals,2010 Q1,1.1269,
2007,2416081,Total_tourist_arrivals,2010 Q2,1.1747,
2008,2403750,Total_tourist_arrivals,2010 Q3,1.1995,
2009,2141193,Total_tourist_arrivals,2010 Q4,1.1639,
2010,2172998,Total_tourist_arrivals,2011 Q1,1.1710,
2011,2392228,Total_tourist_arrivals,2011 Q2,1.1329,
2012,2464908,Total_tourist_arrivals,2011 Q3,1.1402,
2013,2405390,Total_tourist_arrivals,2011 Q4,1.1660,
2014,2441239,Total_tourist_arrivals,2012 Q1,1.1985,
2015,2659405,Total_tourist_arrivals,2012 Q2,1.2344,
2016,3186531,Total_tourist_arrivals,2012 Q3,1.2633,
2017,3652073,Total_tourist_arrivals,2012 Q4,1.2384,
2018,3938625,Total_tourist_arrivals,2013 Q1,1.1751,
2019,3976777,Total_tourist_arrivals,2013 Q2,1.1756,
2020,631609,Total_tourist_arrivals,2013 Q3,1.1708,
2021,1936931,Total_tourist_arrivals,2013 Q4,1.1890,
,,,2014 Q1,1.2079,
,,,2014 Q2,1.2278,
,,,2014 Q3,1.2599,
,,,2014 Q4,1.2671,
,,,2015 Q1,1.3463,
,,,2015 Q2,1.3863,
,,,2015 Q3,1.3937,
,,,2015 Q4,1.3862,
,,,2016 Q1,1.2981,
,,,2016 Q2,1.2702,
,,,2016 Q3,1.1763,
,,,2016 Q4,1.1515,
,,,2017 Q1,1.1627,
,,,2017 Q2,1.1621,
,,,2017 Q3,1.1144,
,,,2017 Q4,1.1269,
,,,2018 Q1,1.1324,
,,,2018 Q2,1.1417,
,,,2018 Q3,1.1207,
,,,2018 Q4,1.1275,
,,,2019 Q1,1.1472,
,,,2019 Q2,1.1436,
,,,2019 Q3,1.1089,
,,,2019 Q4,1.1624,
,,,2020 Q1,1.1610,
,,,2020 Q2,1.1267,
,,,2020 Q3,1.1049,
,,,2020 Q4,1.1077,
,,,2021 Q1,1.1450,
,,,2021 Q2,1.1598,
,,,2021 Q3,1.1691,
,,,2021 Q4,1.1789,
,,,2022 Q1,1.1954,
,,,2022 Q2,1.1785,
,,,2022 Q3,1.1688,
