Date,Tourist_arrivals,Revenue(EurosMn),Revenues(millions),Revenue_per_tourist
2008,2403750,1792.8,1792800000,745.83
2009,2141193,1493.2,1493200000,697.37
2010,2172998,1549.8,1549800000,713.21
2011,2392228,1749.3,1749300000,731.24
2012,2464908,1927.7,1927700000,782.06
2013,2405390,2082.4,2082400000,865.72
2014,2441239,2023.4,2023400000,828.84
2015,2659405,2112.1,2112100000,794.20
2016,3186531,2363.4,2363400000,741.68
2017,3652073,2639.1,2639100000,722.63
2018,3938625,2710.6,2710600000,688.21
2019,3976777,2683.0,2683000000,674.67
