Date,CPIH,CPI
Oct 2012,2.4,2.7
Nov 2012,2.4,2.7
Dec 2012,2.4,2.7
Jan 2013,2.4,2.7
Feb 2013,2.5,2.8
Mar 2013,2.5,2.8
Apr 2013,2.2,2.4
May 2013,2.4,2.7
Jun 2013,2.6,2.9
Jul 2013,2.5,2.8
Aug 2013,2.4,2.7
Sep 2013,2.4,2.7
Oct 2013,2.0,2.2
Nov 2013,1.9,2.1
Dec 2013,1.9,2.0
Jan 2014,1.8,1.9
Feb 2014,1.6,1.7
Mar 2014,1.5,1.6
Apr 2014,1.7,1.8
May 2014,1.5,1.5
Jun 2014,1.8,1.9
Jul 2014,1.6,1.6
Aug 2014,1.5,1.5
Sep 2014,1.3,1.2
Oct 2014,1.3,1.3
Nov 2014,1.1,1.0
Dec 2014,0.7,0.5
Jan 2015,0.5,0.3
Feb 2015,0.4,0.0
Mar 2015,0.3,0.0
Apr 2015,0.3,-0.1
May 2015,0.4,0.1
Jun 2015,0.3,0.0
Jul 2015,0.5,0.1
Aug 2015,0.4,0.0
Sep 2015,0.2,-0.1
Oct 2015,0.2,-0.1
Nov 2015,0.4,0.1
Dec 2015,0.5,0.2
Jan 2016,0.6,0.3
Feb 2016,0.6,0.3
Mar 2016,0.8,0.5
Apr 2016,0.7,0.3
May 2016,0.7,0.3
Jun 2016,0.8,0.5
Jul 2016,0.9,0.6
Aug 2016,1.0,0.6
Sep 2016,1.3,1.0
Oct 2016,1.3,0.9
Nov 2016,1.5,1.2
Dec 2016,1.8,1.6
Jan 2017,1.9,1.8
Feb 2017,2.3,2.3
Mar 2017,2.3,2.3
Apr 2017,2.6,2.7
May 2017,2.7,2.9
Jun 2017,2.6,2.6
Jul 2017,2.6,2.6
Aug 2017,2.7,2.9
Sep 2017,2.8,3.0
Oct 2017,2.8,3.0
Nov 2017,2.8,3.1
Dec 2017,2.7,3.0
Jan 2018,2.7,3.0
Feb 2018,2.5,2.7
Mar 2018,2.3,2.5
Apr 2018,2.2,2.4
May 2018,2.3,2.4
Jun 2018,2.3,2.4
Jul 2018,2.3,2.5
Aug 2018,2.4,2.7
Sep 2018,2.2,2.4
Oct 2018,2.2,2.4
Nov 2018,2.2,2.3
Dec 2018,2.0,2.1
Jan 2019,1.8,1.8
Feb 2019,1.8,1.9
Mar 2019,1.8,1.9
Apr 2019,2.0,2.1
May 2019,1.9,2.0
Jun 2019,1.9,2.0
Jul 2019,2.0,2.1
Aug 2019,1.7,1.7
Sep 2019,1.7,1.7
Oct 2019,1.5,1.5
Nov 2019,1.5,1.5
Dec 2019,1.4,1.3
Jan 2020,1.8,1.8
Feb 2020,1.7,1.7
Mar 2020,1.5,1.5
Apr 2020,0.9,0.8
May 2020,0.7,0.5
Jun 2020,0.8,0.6
Jul 2020,1.1,1.0
Aug 2020,0.5,0.2
Sep 2020,0.7,0.5
Oct 2020,0.9,0.7
Nov 2020,0.6,0.3
Dec 2020,0.8,0.6
Jan 2021,0.9,0.7
Feb 2021,0.7,0.4
Mar 2021,1.0,0.7
Apr 2021,1.6,1.5
May 2021,2.1,2.1
Jun 2021,2.4,2.5
Jul 2021,2.1,2.0
Aug 2021,3.0,3.2
Sep 2021,2.9,3.1
Oct 2021,3.8,4.2
Nov 2021,4.6,5.1
Dec 2021,4.8,5.4
Jan 2022,4.9,5.5
Feb 2022,5.5,6.2
Mar 2022,6.2,7.0
Apr 2022,7.8,9.0
May 2022,7.9,9.1
Jun 2022,8.2,9.4
Jul 2022,8.8,10.1
Aug 2022,8.6,9.9
Sep 2022,8.8,10.1
Oct 2022,9.6,11.1
